,LC_top,LC_bottom,s_since_start
497,133310750000.0,89221170000.0,1325.3333333333333
498,132904985000.0,89087140000.0,1328.0
499,133086600000.0,89140355000.0,1330.6666666666665
500,133013040000.0,89106370000.0,1333.3333333333333
501,132878860000.0,89089020000.0,1336.0
502,133361320000.0,89198520000.0,1338.6666666666665
503,133173760000.0,89076920000.0,1341.3333333333333
504,133112430000.0,89071124000.0,1344.0
505,133043634000.0,89021560000.0,1346.6666666666665
506,133263920000.0,89093920000.0,1349.3333333333333
507,133639090000.0,89210544000.0,1352.0
508,133705750000.0,89213840000.0,1354.6666666666665
509,133398080000.0,89037460000.0,1357.3333333333333
510,133400940000.0,88999700000.0,1360.0
511,133699590000.0,89086420000.0,1362.6666666666665
512,133663334000.0,89089000000.0,1365.3333333333333
513,133531820000.0,88964130000.0,1368.0
514,133112910000.0,88795990000.0,1370.6666666666665
515,133044175000.0,88745690000.0,1373.3333333333333
516,132803140000.0,88654540000.0,1376.0
517,132736066000.0,88591010000.0,1378.6666666666665
518,133084365000.0,88696390000.0,1381.3333333333333
519,133028670000.0,88644450000.0,1384.0
520,132754780000.0,88489090000.0,1386.6666666666665
521,132966480000.0,88566890000.0,1389.3333333333333
522,132891800000.0,88558580000.0,1392.0
523,132972080000.0,88483365000.0,1394.6666666666665
524,133106700000.0,88530490000.0,1397.3333333333333
525,133104910000.0,88517060000.0,1400.0
526,132946040000.0,88483370000.0,1402.6666666666665
527,132897320000.0,88405720000.0,1405.3333333333333
528,133154595000.0,88468810000.0,1408.0
529,132596064000.0,88214210000.0,1410.6666666666665
530,132629190000.0,88284660000.0,1413.3333333333333
531,133223960000.0,88416944000.0,1416.0
532,132904800000.0,88268620000.0,1418.6666666666665
533,132652670000.0,88133394000.0,1421.3333333333333
534,132329610000.0,87954120000.0,1424.0
535,132611660000.0,88052760000.0,1426.6666666666665
536,132632120000.0,88008680000.0,1429.3333333333333
537,132477240000.0,87928990000.0,1432.0
538,132427910000.0,87885234000.0,1434.6666666666665
539,132494930000.0,87883060000.0,1437.3333333333333
540,132460740000.0,87877060000.0,1440.0
541,132283040000.0,87817180000.0,1442.6666666666665
542,132307500000.0,87786380000.0,1445.3333333333333
543,132397900000.0,87820845000.0,1448.0
544,132307070000.0,87773350000.0,1450.6666666666665
545,131802360000.0,87526220000.0,1453.3333333333333
546,131613870000.0,87508300000.0,1456.0
547,132608920000.0,87787220000.0,1458.6666666666665
548,132833860000.0,87835850000.0,1461.3333333333333
549,132752925000.0,87859814000.0,1464.0
550,132700700000.0,87765975000.0,1466.6666666666665
551,132557180000.0,87658750000.0,1469.3333333333333
552,132350214000.0,87570825000.0,1472.0
553,132224705000.0,87525270000.0,1474.6666666666665
554,132367385000.0,87555875000.0,1477.3333333333333
555,132489460000.0,87526330000.0,1480.0
556,132247265000.0,87411640000.0,1482.6666666666665
557,132180976000.0,87363160000.0,1485.3333333333333
558,132446090000.0,87428970000.0,1488.0
559,132370260000.0,87396580000.0,1490.6666666666665
560,132606810000.0,87415030000.0,1493.3333333333333
561,132577780000.0,87384370000.0,1496.0
562,132545650000.0,87361590000.0,1498.6666666666665
563,132496260000.0,87355340000.0,1501.3333333333333
564,132333080000.0,87276290000.0,1504.0
565,132212195000.0,87253840000.0,1506.6666666666665
566,131857380000.0,87114770000.0,1509.3333333333333
567,131513180000.0,86981460000.0,1512.0
568,131449070000.0,86961160000.0,1514.6666666666665
569,131347930000.0,86891460000.0,1517.3333333333333
570,131698400000.0,87001350000.0,1520.0
571,131710310000.0,87009340000.0,1522.6666666666665
572,131810580000.0,87012336000.0,1525.3333333333333
573,132063600000.0,87109270000.0,1528.0
574,132110710000.0,87091070000.0,1530.6666666666665
575,132115080000.0,87061350000.0,1533.3333333333333
576,132131370000.0,87076320000.0,1536.0
577,132024310000.0,87019405000.0,1538.6666666666665
578,131808166000.0,86913590000.0,1541.3333333333333
579,131406610000.0,86748774000.0,1544.0
580,131105300000.0,86663496000.0,1546.6666666666665
581,131036045000.0,86646950000.0,1549.3333333333333
582,131145170000.0,86669420000.0,1552.0
583,131078630000.0,86636020000.0,1554.6666666666665
584,130580560000.0,86465480000.0,1557.3333333333333
585,130848180000.0,86539125000.0,1560.0
586,131185070000.0,86636790000.0,1562.6666666666665
587,131508020000.0,86708700000.0,1565.3333333333333
588,131023520000.0,86535990000.0,1568.0
